roadsectionid,coordx,coordy,cctvresolution,filecreatetime,cctvtype,cctvformat,cctvname,cctvurl
,126.9108423,36.91790302,,,1,HLS,[국도 39호선] 평택 현덕교차로,http://cctvsec.ktict.co.kr/4178/QNG4M94tKMxj12tAu8gL+M2h0IAthm5uau1uUwVEN6u9HLE1wD4CS/mm9uRCO4tJQPdylhaxpnW2XiMJAa2xt7mNP5Pb+jXE/xkcjgYetKc=
,126.989589,36.80039,,,1,HLS,[국도 39호선] 아산 옥정교차로,http://cctvsec.ktict.co.kr/4182/WVAXQOaxRWYYpMmnQTumP5mSabVLMVR4et25y5LWsMraovwKUSbOF+W8YCTW3KyxBs1u/RvFVKfOUyLhyk5nU28Udb2YgfHAmEoCZ/1mfwg=
,126.976723,36.811052,,,1,HLS,[국도 39호선] 아산 곡교교차로,http://cctvsec.ktict.co.kr/4183/7/iHyNIC1UzhXRELnvzcgNSAdfPgOpvaz5A8h+4JSsIhzhEN+gcHzKkdZEVooUZXNMyznu+93xSam/bvu/OdT3VayN9L+judi8xa6E4SHDE=
,126.958751,36.854998,,,1,HLS,[국도 39호선] 아산 아산교차로,http://cctvsec.ktict.co.kr/4184/mW9QjDq8spzIjcUzWxefpI2D42oKVZ/o9wUVFn3soaD84ad1ExpApzBd4uT3RFkE7jQfigWTHJT/yvp0E3Y3uT/WsY6N7xqJm/OiqtaCW5c=
,126.91566,36.8862,,,1,HLS,[국도 39호선] 아산 인주육교,http://cctvsec.ktict.co.kr/4185/UKMbJ556jWiwJYmvyEpQ+6fzBVGlGqBPSXzpVD/c443JxN2SKO2SdrFSxvUU2Voo17R0+xF8/+8uFv9vArT6xnI9L5NIF1zbzbqstVAaffU=
,126.951557,36.863104,,,1,HLS,[국도 39호선] 아산 아산1교차로,http://cctvsec.ktict.co.kr/4186/q+8FCyTB/nh3pcwRRWbFmZM8uEtV/GUYvqf6hBpege0dVbDp836M231CeETDk1Ek/quuPd0zZaoB1vElQ/1DxCjhgKfqn85cWo3oY+l3Svo=
,126.9318288,37.1636191,,,1,HLS,[국도 43호선] 화성 팔탄입구3,http://cctvsec.ktict.co.kr/4211/i+qVOLrjuAgp8sBEqVR79pj/gLvDBEhL2Qd7lQoEFTfvMveGZ9CXUog/N2kgc8J+AAwC2gEm0vmy/vLbnG9PCWxwtXiXzCQAzWUV5KqtfcY=
,127.008172,36.798385,,,1,HLS,[국도 45호선] 아산 송곡사거리,http://cctvsec.ktict.co.kr/4233/Eb1LJUcgfwkBYiibes3DWpDDgQAiOgwi/jlPjHK5AG7LKtaZbCI7b8Rnq9vqJ7/je0TQzE8QUw036bcZpug7i4pje2tJw20gLg8gZXdHqG4=
,127.0181783,36.8497251,,,1,HLS,[국도 45호선] 아산 어르목터널 남단,http://cctvsec.ktict.co.kr/4234/r6jaiVIDXczVm2HCioVkW8UvDrlDSkOOSrFZhtjnZ5OoWRtM4Stk3IFxENuzhHVJEaftLDOW0lYQ8fHW+jP2owLUPzdDHFFFa0Hz+T24H6E=
,127.012195,36.846755,,,1,HLS,[국도45] 아산 음봉교차로,http://cctvsec.ktict.co.kr/4236//aYRoVnv/fkbIJKb/TrIXDjR6D4u1XDUqCGoXMRscCcsDNVXziBBXa3nWkDdv8AF+S/gnnAJOWKqMqzDC38qnZR4vGlTYIHm71l/YpNv2Ns=
,126.8108166,37.0194055,,,1,HLS,[국도77호선] 화성 남양대교북단,http://cctvsec.ktict.co.kr/4249/5AZCkeu0lY9vU45//NMH8/fDBiokkDuE8ti+6BDCLmEayD9v+zqk6vLIc/bMkT84FbrnggYF76rx/NRvHz1pFTLqsGMdUQXinRd3CbXSayk=
